Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Hours_from,Hours_to,Latitude,Location,Longitude,NTAName,Notes,ObjectId,Operation_Day,Open_Months,Serviced_by,Website,boroCD,ct2010,point,zip_code
Manhattan,6,B'nai Jeshurun Community House,9pm,7am,40.790374755859375,270 West 89th Street,-73.97599792480469,Upper West Side,,,Tuesday,Year Round,B'nai Jeshrun,www.bj.org,107,4001,POINT (-73.975999 40.79037300000001),10024
Manhattan,1,East River Park Compost Yard,Dusk,Dawn,40.710994720458984,"East River Park Compost Park (coordinates: 40.711055, -73.978847)",-73.9790267944336,Lower East Side,,,Everyday,Year Round,NYC Compost Project,,103,202,POINT (-73.979029 40.710994),10002
Queens,25,Commuter Composting at Grand Ave Newtown M/R,09:30 AM,07:30 AM,40.73714828491211,"86-55 Broadway, Queens, NY 11373",-73.87709045410156,Elmhurst,,,Mondays,Year Round,NYC Compost Project,https://queensbotanical.org/farmandcompost/,404,2004,POINT (-73.877092 40.73715),11373
Bronx,14,Bronx Cooperative Development Initiative,4pm,10am,40.861427307128906,2431 Morris Ave,-73.90023803710938,Fordham South,,,Wednesday,Year Round,Commonwise Education/ Bronx Cooperative Development Initiative,commonwise.nyc,205,1000,POINT (-73.900235 40.86142600000001),10468
Manhattan,7,Mobilization for Change Community Garden,dusk,dawn,40.799705505371094,955 Columbus Ave,-73.9621810913086,Morningside Heights,,,Everyday,Year Round,Mobilization for Change Community Garden,,107,3001,POINT (-73.962184 40.799704),10025
Bronx,16,161st Street - Yankee Stadium,11:15am,7:30am,40.82781219482422,"161st, River Ave - NE Corner",-73.9259262084961,West Concourse,,,Friday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,204,63,POINT (-73.92592932999999 40.827811620000034),10451
Bronx,17,Kelly Street Garden,2pm,10am,40.82010269165039,924 Kelly Street,-73.8957290649414,Longwood,,,Saturday,"Seasonal, March-November",Kelly Street Garden,https://www.facebook.com/kellyst.garden/,202,2002,POINT (-73.895726 40.820101),10459
Manhattan,10,OPEN FOR SEASON: Morris- Jumel Community Garden,5pm,12pm,40.835777282714844,455-457 West 162nd Street,-73.93914031982422,Washington Heights South,,,Sunday,"Seasonal, April-October",Morris- Jumel Community Garden,https://morrisjumelcommunitygarden.wordpress.com/,112,2000,POINT (-73.939143 40.835777),10032
Manhattan,9,Harlem Grown,5pm,9am,40.813804626464844,118 W 134th St,-73.94281768798828,Central Harlem North-Polo Grounds,,,Tuesday,Year Round,Harlem Grown,http://www.harlemgrown.org/,110,1000,POINT (-73.942816 40.813804),10030
Bronx,15,OPENING JUNE 25: Poe Park Greenmarket,01:30 PM,08:00 AM,40.86421585083008,"E. 192 St. btwn Grand Concourse and Valentine, Bronx, NY, 10468",-73.89579772949219,Bedford Park-Fordham North,,,Tuesdays,"Seasonal, June-November",GrowNYC,http://www.grownyc.org/compost/locations,207,39901,POINT (-73.89579452999999 40.86421609000007),10458
Brooklyn,43,Bay Ridge Greenmarket,01:00 PM,08:00 AM,40.617279052734375,"3rd Ave & 95th Street, Brooklyn, NY 11209",-74.0335922241211,BK31,,,Saturdays,"Seasonal Market, May - November",GrowNYC,http://www.grownyc.org/compost/locations,310,54,POINT (-74.03358848999994 40.61727747000003),11209
Manhattan,3,Hudson River Park's Pier 76 at W. 34th St.,7pm,7am,40.757022857666016,Pier 76 at 34th Street and 12th Ave in Hudson River Park's Compost Center,-74.00492858886719,Hudson Yards-Chelsea-Flatiron-Union Square,,,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,104,99,POINT (-74.00492701999997 40.75702127000005),10001
Brooklyn,37,OPEN FOR SEASON: Essex Community Garden,07:00 PM,05:00 PM,40.68026351928711,3030 Fulton Street,-73.88298034667969,East New York,,,Wednesdays,Seasonal,Essex Community Garden,N/A,305,2003,POINT (-73.882984 40.680263),11208
Manhattan,3,Hudson River Park's Pier 51 at Horatio St.,7pm,7am,40.73873519897461,Pier 51 at Horatio St. near comfort station,-74.00961303710938,West Village,,,Everyday,Year Round,Hudson River Park Trust,https://www.hudsonriverpark.org/,102,79,POINT (-74.00960956999995 40.73873546000004),10014
Manhattan,8,Lydia's Magic Garden,11:30am,9:30am,40.80008316040039,"1665 Park Avenue, Manhattan 10035
between 117th and 118th Streets",-73.94220733642578,East Harlem North,,,Saturday,"Seasonal, April-October",GrowNYC,https://www.facebook.com/lydiasmagicgarden/,111,2001,POINT (-73.942206 40.800083),10035
Bronx,17,149th St - Grand Concourse,11:15am,7:15am,40.81856155395508,"Grand Concourse, 149th Street - SE Corner",-73.92731475830078,Mott Haven-Port Morris,,,Friday,Year Round,GrowNYC,https://www.grownyc.org/compost-go,201,51,POINT (-73.92731612999995 40.81856006000004),10451
Manhattan,9,William B. Washington Memorial Garden,6pm,3pm,40.811397552490234,321 West 126th Street,-73.9515151977539,Central Harlem North-Polo Grounds,,,Wednesday,Year Round,William B. Washington Memorial Garden,,110,1002,POINT (-73.951517 40.811398),10027
Staten Island,51,OPEN FOR SEASON: Staten Island Mall Greenmarket,01:00 PM,08:00 AM,40.583805084228516,"Staten Island Mall, Marsh Ave & Ring Rd, Staten Island, NY 10314",-74.16124725341797,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,,,Saturdays,Seasonal Market,GrowNYC,http://www.grownyc.org/compost/locations,502,27702,POINT (-74.16124482999999 40.583803480000036),10314
Brooklyn,33,"Brooklyn Borough Hall Greenmarket (Closed Thursday, 7/4 - Independence Day)",02:00 PM,08:00 AM,40.693721771240234,"Court St & Montague St, Brooklyn, NY 11201",-73.9904556274414,Brooklyn Heights-Cobble Hill,,,Thursdays,Year Round,GrowNYC,http://www.grownyc.org/compost/locations,302,9,POINT (-73.99045462 40.693721390000064),11201
Brooklyn,35,"7 Ave B/Q (Closed Wednesday, 7/3 - Independence Day)",10:00 AM,08:00 AM,40.67744827270508,Park Pl and Carlton Ave,-73.97235107421875,Prospect Heights,,,Wednesdays,Year Round,NYC Compost Project,,308,161,POINT (-73.97234786999996 40.67744746000006),11238
Manhattan,2,Union Square Greenmarket,5pm,8am,40.736820220947266,"E 17th St & Union Square E, New York, NY",-73.99004364013672,Hudson Yards-Chelsea-Flatiron-Union Square,,,Friday,Year Round,NYC Compost Project,http://www.grownyc.org/compost/locations,105,50,POINT (-73.990043 40.736822),10003
Bronx,11,OPENING JUNE 26: Bainbridge Avenue Community Garden,07:00 PM,04:00 PM,40.87092590332031,"2980 Bainbridge Avenue, Bronx, NY 10458",-73.88397979736328,Bedford Park-Fordham North,,,Wednesdays,"Seasonal Market, June-November",Serviced/Managed by Volunteers from Bainbridge Avenue Community Garden,,207,3000,POINT (-73.883979 40.870927),10458
Manhattan,8,Lydia's Magic Garden,11:30am,9:30am,40.80008316040039,"1665 Park Avenue, Manhattan 10035
between 117th and 118th Streets",-73.94220733642578,East Harlem North,,,Wednesday,"Seasonal, April-October",GrowNYC,https://www.facebook.com/lydiasmagicgarden/,111,2001,POINT (-73.942206 40.800083),10035
Manhattan,10,OPEN FOR SEASON: Morris- Jumel Community Garden,5pm,12pm,40.835777282714844,455-457 West 162nd Street,-73.93914031982422,Washington Heights South,,,Saturday,"Seasonal, April-October",Morris- Jumel Community Garden,https://morrisjumelcommunitygarden.wordpress.com/,112,2000,POINT (-73.939143 40.835777),10032
Manhattan,2,Christopher Street,11:00 AM,08:00 AM,40.73363494873047,7th Avenue and Christopher St - SW Corner,-74.0027847290039,West Village,,,Tuesdays,Year Round,NYC Compost Project,www.lesecologycenter.org,102,73,POINT (-74.00278558999997 40.73363333000003),10014
Brooklyn,46,Bay View Houses Farm,05:00 PM,09:00 AM,40.63333511352539,5955 Shore Parkway,-73.88597106933594,Canarsie,,,Everyday,"Seasonal, June-November",East New York Farms!,https://ucceny.org/enyf/,318,1004,POINT (-73.885973 40.633335),11236
Staten Island,49,Olivet Heavenly Harvest,06:00 PM,04:00 PM,40.63019943237305,"97 Myrtle Avenue, Staten Island, NY",-74.115966796875,New Brighton-Silver Lake,,,Thursdays,"Seasonal, March-November",Olivet Presbyterian Church,www.olivetcares.org,501,4006,POINT (-74.115963 40.630199),10310
